num_hecho,dia_ocu,mes_ocu,año_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_pil,g_edad_pil,estado_pil,tipo_vehi,color_vehi,modelo_vehi,causa_acc
1480,17,5,9,7,6,10,2,1,62,1,1,5,2,1987,1
1651,8,6,9,1,21,1,1,1,62,1,1,5,99,9999,1
2996,25,10,9,7,16,2,2,1,62,1,1,5,2,9999,1
2471,23,8,9,7,0,1,2,1,63,1,9,1,11,1994,1
1131,12,4,9,7,11,1,1,1,63,1,9,1,11,9999,1
898,21,3,9,6,6,10,2,1,63,1,9,6,1,1992,1
1273,26,4,9,7,11,9,2,1,63,1,9,7,2,1989,1
302,30,1,9,5,22,16,2,1,63,1,1,2,1,1982,1
525,16,2,9,1,19,5,2,1,63,1,1,2,9,9999,2
3441,23,12,9,3,13,20,2,1,63,1,1,3,11,1981,1
3030,30,10,9,5,11,1,1,1,63,1,1,3,7,2005,1
48,4,1,9,7,23,14,2,1,63,1,1,3,99,9999,4
3265,2,12,9,3,7,7,2,1,63,1,1,6,2,1998,1
826,13,3,9,5,21,5,2,1,63,1,1,6,2,9999,1
3495,28,12,9,1,10,2,2,1,64,1,9,3,2,9999,1
2561,1,9,9,2,18,18,2,1,64,1,9,99,99,9999,1
3074,3,11,9,2,22,1,1,1,64,1,2,1,4,9999,1
1735,18,6,9,4,7,8,2,1,64,1,1,3,6,2004,1
2718,22,9,9,2,15,2,2,1,64,1,1,7,2,2000,1
1544,24,5,9,7,2,1,1,1,65,1,9,2,99,9999,1
2530,28,8,9,5,7,6,2,1,65,1,9,4,3,9999,1
2799,2,10,9,5,22,5,2,1,65,1,2,1,7,2004,1
1269,26,4,9,7,13,1,1,1,65,1,1,1,1,1992,1
2513,27,8,9,4,7,20,1,1,65,1,1,1,2,9999,1
419,8,2,9,7,21,22,2,1,65,1,1,3,2,1992,3
1584,31,5,9,7,4,11,2,1,65,1,1,12,2,1986,1
2500,25,8,9,2,12,1,1,1,66,1,1,1,3,1991,1
2791,1,10,9,4,11,5,2,1,66,1,1,3,11,1980,1
79,9,1,9,5,7,7,2,1,66,1,1,3,4,1989,1
2619,10,9,9,4,16,10,1,1,66,1,1,3,5,1995,1
1106,11,4,9,6,15,19,2,1,66,1,1,3,1,2000,1
447,11,2,9,3,18,22,2,1,67,1,1,3,3,1985,1
859,16,3,9,1,20,1,1,1,68,1,9,1,4,1996,1
1165,15,4,9,3,17,7,2,1,68,1,9,2,2,9999,3
1348,4,5,9,1,21,5,2,1,68,1,9,3,3,1985,1
6,1,1,9,4,16,21,2,1,68,1,9,9,9,1994,1
275,26,1,9,1,19,5,2,1,68,1,1,3,9,1990,1
2953,20,10,9,2,8,2,2,1,68,1,1,11,6,1983,1
2648,13,9,9,7,11,10,2,1,69,1,1,3,5,1983,3
3201,22,11,9,7,12,2,2,1,70,1,9,2,6,1995,1
1129,11,4,9,6,5,1,2,1,70,1,9,2,99,9999,3
1323,2,5,9,6,13,5,2,1,70,1,1,5,2,1977,1
1401,9,5,9,6,1,1,1,1,71,1,1,1,2,2008,1
1890,5,7,9,7,12,11,1,1,71,1,1,1,4,9999,1
3147,14,11,9,6,17,1,1,2,72,1,1,1,4,2005,1
2080,27,7,9,1,13,1,1,1,72,1,1,1,99,2006,1
372,4,2,9,3,16,1,1,1,72,1,1,8,4,9999,1
606,23,2,9,1,11,1,1,1,73,1,1,2,4,2003,2
1861,2,7,9,4,14,17,2,1,73,1,1,2,99,9999,3
45,4,1,9,7,23,1,2,1,74,1,1,1,4,9999,1
1150,13,4,9,1,11,11,2,1,75,1,9,1,2,1987,1
905,22,3,9,7,12,19,1,1,75,1,9,1,4,1998,1
1773,22,6,9,1,10,13,1,1,75,1,1,1,1,1985,1
412,7,2,9,6,10,4,1,1,75,1,1,1,9,1995,1
397,7,2,9,6, ,1,2,1,76,1,1,1,4,2009,1
2381,13,8,9,4,10,18,2,1,77,1,1,1,4,1986,1
2670,15,9,9,2,14,19,2,1,78,1,1,3,3,2008,3
389,5,2,9,4,14,11,2,1,79,1,1,3,2,2001,1
1266,25,4,9,6,14,14,2,1,81,1,9,99,99,9999,3
1159,14,4,9,2,10,9,2,1,83,1,1,3,3,9999,2
2456,22,8,9,6,19,1,1,9,999,99,9,1,1,1984,1
1147,13,4,9,1,10,1,1,1,999,1,9,1,99,1986,1
2340,8,8,9,6,23,1,1,9,999,1,9,1,99,1991,1
526,16,2,9,1,19,6,2,9,999,99,9,1,8,1998,1
20,1,1,9,4,18,3,2,9,999,99,9,1,5,9999,1
24,2,1,9,5,18,1,1,9,999,99,9,1,9,9999,1
71,8,1,9,4,23,6,2,9,999,99,9,1,99,9999,1
330,1,2,9,7,14,1,1,9,999,99,9,1,2,9999,1
331,1,2,9,7,14,1,1,9,999,99,9,1,2,9999,1
352,2,2,9,1,8,1,2,9,999,99,9,1,99,9999,1
655,27,2,9,5,13,17,2,9,999,99,9,1,99,9999,1
746,7,3,9,6,13,11,2,9,999,99,9,1,99,9999,1
1203,19,4,9,7,19,6,2,1,999,99,9,1,2,9999,1
1243,23,4,9,4,15,9,2,9,999,99,9,1,99,9999,1
1275,26,4,9,7,21,12,2,9,999,99,9,1,99,9999,1
1337,3,5,9,7,18,12,2,9,999,99,9,1,99,9999,1
1591,1,7,9,1,17,16,2,9,999,99,9,1,99,9999,1
1603,3,6,9,3,13,1,1,9,999,99,9,1,6,9999,1
1722,17,6,9,3,21,1,1,9,999,99,9,1,2,9999,1
1867,3,7,9,5,12,11,1,9,999,99,9,1,11,9999,1
1895,6,7,9,1,6,1,1,9,999,99,9,1,99,9999,1
2446,20,8,9,4,17,11,2,9,999,99,9,1,4,9999,1
2566,2,9,9,3,18,1,1,9,999,99,9,1,4,9999,1
2647,13,9,9,7,7,1,2,9,999,99,9,1,4,9999,1
2688,18,9,9,5,13,5,2,1,999,1,9,1,1,9999,1
2703,19,9,9,6,20,4,2,9,999,99,9,1,1,9999,1
2822,5,10,9,1,14,11,2,9,999,99,9,1,99,9999,1
2902,16,10,9,5,8,12,2,9,999,1,9,1,5,9999,1
3045,31,10,9,6,17,1,2,9,999,99,9,1,8,9999,1
3379,18,12,9,5,4,1,1,9,999,99,9,1,2,9999,1
3403,20,12,9,7,18,1,1,9,999,99,9,1,17,9999,1
3440,23,12,9,3,21,22,2,9,999,99,9,1,4,9999,1
3491,27,12,9,7,17,2,2,9,999,99,9,1,3,9999,1
387,5,2,9,4,0,13,2,9,999,99,9,1,3,1995,2
1641,7,6,9,7,2,1,1,9,999,99,9,1,4,1996,2
2808,3,10,9,6,0,16,2,9,999,99,9,1,4,1997,2
913,23,3,9,1,0,22,2,9,999,99,9,1,6,1998,2
2861,11,10,9,7,1,1,1,9,999,99,9,1,2,2004,2
23,2,1,9,5,9,1,1,9,999,99,9,1,2,9999,2
1066,7,4,9,2,15,10,2,9,999,99,9,1,1,9999,2
1099,10,4,9,5,3,6,2,9,999,99,9,1,5,9999,2
1865,3,7,9,5,11,6,2,9,999,99,9,1,99,9999,2
2436,20,8,9,4,3,1,2,9,999,99,9,1,4,9999,2
2571,3,9,9,4,15,1,2,9,999,99,9,1,2,9999,2
