núm_corre,día_ocu,año_ocu,hora_ocu,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,fall_les,int_o_noint
5754,9,2016,19,9,5,1005,10,2,99,1,27,1,3,69,9,1984,2,4,4,6,4,3,2,2,2
5755,9,2016,15,9,5,1101,11,2,99,1,21,1,4,76,5,9999,1,3,3,5,3,2,6,2,1
5756,9,2016,6,9,5,1401,14,2,99,1,25,1,9,17,2,1983,2,4,4,6,2,1,2,2,1
5757,9,2016,6,9,5,1401,14,2,99,2,30,1,9,17,2,1983,2,5,5,7,2,1,2,2,1
5758,9,2016,6,9,5,1401,14,2,99,2,22,1,9,17,2,1983,2,3,3,5,2,1,2,2,1
5759,9,2016,6,9,5,1401,14,2,99,2,22,1,9,17,2,1983,2,3,3,5,2,1,2,2,1
5760,9,2016,6,9,5,1401,14,2,99,2,22,1,9,17,2,1983,2,3,3,5,2,1,2,2,1
5761,9,2016,20,9,5,1406,14,2,99,1,32,1,4,6,1,2001,1,5,5,7,4,3,4,2,2
5762,9,2016,15,9,5,1420,14,2,99,1,23,1,4,999,99,2016,1,3,3,5,3,2,5,2,1
5763,10,2016,4,9,6,101,1,1,11,1,31,1,1,74,1,9999,1,5,5,7,1,1,6,1,2
5764,10,2016,3,9,6,101,1,1,6,1,25,1,1,48,4,9999,2,4,4,6,1,1,6,2,1
5765,10,2016,3,9,6,101,1,1,6,1,23,1,1,48,4,9999,2,3,3,5,1,1,6,2,1
5766,10,2016,23,9,6,101,1,1,6,1,40,1,1,27,1,9999,1,7,7,9,4,3,6,2,1
5767,10,2016,23,9,6,101,1,1,6,1,29,1,1,8,2,9999,1,4,4,6,4,3,6,2,1
5768,10,2016,17,9,6,501,5,2,99,1,35,1,2,999,4,9999,1,6,6,8,3,2,6,1,2
5769,10,2016,17,9,6,501,5,2,99,1,60,1,2,999,4,9999,1,11,11,13,3,2,6,2,1
5770,10,2016,17,9,6,501,5,2,99,2,10,2,2,999,4,9999,1,1,1,3,3,2,6,2,1
5771,10,2016,17,9,6,501,5,2,99,2,999,9,2,999,4,9999,1,16,12,18,3,2,6,2,1
5772,10,2016,5,9,6,1601,16,2,99,1,38,1,4,67,1,9999,1,6,6,8,1,1,6,1,2
5773,10,2016,5,9,6,1601,16,2,99,1,24,1,4,67,1,9999,1,3,3,5,1,1,6,2,1
5774,10,2016,9,9,6,102,1,2,99,1,21,1,3,69,1,9999,3,3,3,5,2,1,6,1,2
5775,10,2016,9,9,6,102,1,2,99,1,25,1,3,69,1,9999,3,4,4,6,2,1,6,2,1
5776,10,2016,9,9,6,102,1,2,99,2,18,1,3,69,1,9999,3,2,2,4,2,1,6,2,1
5777,10,2016,9,9,6,102,1,2,99,1,35,1,3,69,1,9999,3,6,6,8,2,1,6,2,1
5778,10,2016,9,9,6,102,1,2,99,2,55,1,3,69,1,9999,3,10,10,12,2,1,6,2,1
5779,10,2016,9,9,6,102,1,2,99,1,55,1,3,69,1,9999,3,10,10,12,2,1,6,2,1
5780,10,2016,22,9,6,1406,14,2,99,1,48,1,4,67,3,9999,1,8,8,10,4,3,6,2,1
5781,10,2016,22,9,6,505,5,2,99,1,24,1,3,52,99,9999,2,3,3,5,4,3,6,1,2
5782,10,2016,23,9,6,502,5,2,99,1,27,1,4,999,99,9999,2,4,4,6,4,3,6,1,2
5783,10,2016,21,9,6,1101,11,2,99,2,20,1,4,76,3,2012,1,3,3,5,4,3,5,2,1
5784,10,2016,21,9,6,1101,11,2,99,1,28,1,4,76,3,2012,1,4,4,6,4,3,5,2,1
5785,10,2016,18,9,6,108,1,1,99,1,34,1,2,56,4,2004,1,5,5,7,4,3,4,2,1
5786,10,2016,18,9,6,108,1,1,99,1,999,1,9,56,4,2007,1,16,12,18,4,3,4,2,1
5787,10,2016,18,9,6,108,1,1,99,2,999,1,9,56,4,2007,1,16,12,18,4,3,4,2,1
5788,10,2016,22,9,6,108,1,1,99,1,16,2,4,6,5,9999,4,2,2,4,4,3,6,2,1
5789,10,2016,22,9,6,108,1,1,99,2,20,1,4,6,5,9999,4,3,3,5,4,3,6,2,1
