núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
2368,2017,22,10,2,1,4,6,401,4,99,1,25,4,4,6,1,3,999,99,9999,6,1,2,1
2369,2017,22,10,2,1,4,6,401,4,99,1,30,5,5,7,1,3,999,99,9999,6,1,2,1
2370,2017,22,10,2,1,4,6,401,4,99,1,30,5,5,7,1,3,999,99,9999,6,1,2,1
2371,2017,22,14,3,2,4,6,1907,19,99,1,24,3,3,5,1,4,999,99,9999,6,1,2,1
2372,2017,22,14,3,2,4,6,1907,19,99,2,31,5,5,7,1,4,999,99,9999,6,1,2,1
2373,2017,22,20,4,3,4,6,601,6,99,2,19,2,2,4,1,3,999,99,9999,6,3,2,1
2374,2017,22,20,4,3,4,6,601,6,99,2,41,7,7,9,1,3,999,99,9999,6,3,2,1
2375,2017,22,20,4,3,4,6,601,6,99,2,35,6,6,8,1,3,999,99,9999,6,3,2,1
2376,2017,22,20,4,3,4,6,601,6,99,2,13,1,1,3,2,3,999,99,9999,6,3,2,1
2377,2017,22,20,4,3,4,6,601,6,99,2,19,2,2,4,1,3,999,99,9999,6,3,2,1
2378,2017,22,20,4,3,4,6,601,6,99,2,20,3,3,5,1,3,999,99,9999,6,3,2,1
2379,2017,22,20,4,3,4,6,601,6,99,2,47,8,8,10,1,3,999,99,9999,6,3,2,1
2380,2017,22,20,4,3,4,6,601,6,99,1,78,14,11,16,1,3,999,99,9999,6,3,2,1
2381,2017,22,18,4,3,4,6,201,2,99,1,58,10,10,12,1,3,999,99,9999,6,3,2,1
2382,2017,23,16,3,2,4,7,101,1,6,1,32,5,5,7,1,1,48,4,9999,6,2,1,2
2383,2017,23,3,1,1,4,7,106,1,99,1,24,3,3,5,1,4,32,1,9999,6,2,1,2
2384,2017,23,5,1,1,4,7,101,1,11,1,37,6,6,8,1,4,999,5,9999,6,2,2,1
2385,2017,23,16,3,2,4,7,109,1,99,1,23,3,3,5,1,3,999,99,9999,6,1,2,1
2386,2017,23,16,3,2,4,7,109,1,99,2,22,3,3,5,1,3,999,99,9999,6,1,2,1
2387,2017,23,16,3,2,4,7,109,1,99,1,34,5,5,7,1,3,999,99,9999,6,1,2,1
2388,2017,23,16,3,2,4,7,117,1,99,1,25,4,4,6,1,4,999,99,9999,6,1,2,1
2389,2017,23,23,4,3,4,7,117,1,99,2,23,3,3,5,1,4,999,5,9999,6,1,2,1
2390,2017,23,23,4,3,4,7,117,1,99,1,1,1,1,1,2,4,999,5,9999,6,1,2,1
