num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad_2,mayor_menor,tipo_veh,color_veh,modelo_veh,causa_acc,marca_veh,estado_pil
3827,6,1,7,12,3,16,1610,2,99,9,999,12,9,3,14,9999,5,99,9
3828,7,1,1,13,3,1,101,1,3,1,29,4,1,11,2,2012,5,44,1
3829,7,1,1,7,2,1,101,1,11,1,40,7,1,1,4,2002,5,32,1
3830,7,1,1,16,3,1,116,1,3,1,26,4,1,4,1,9999,5,24,1
3831,7,1,1,15,3,10,1001,1,1,1,30,5,1,4,99,2007,5,21,1
3832,7,1,1,5,1,10,1020,2,99,1,28,4,1,99,7,9999,5,99,1
3833,7,1,1,20,4,2,203,2,99,1,37,6,1,4,5,2007,5,42,1
3834,7,1,1,21,4,4,406,1,99,9,999,12,9,99,99,9999,5,99,9
3835,8,1,2,10,2,1,101,1,18,1,29,4,1,5,2,9999,5,19,1
3836,8,1,2,7,2,1,101,1,7,9,999,12,9,99,99,9999,5,99,9
3837,8,1,2,0,1,11,1101,2,99,9,999,12,9,6,99,9999,5,99,9
3838,9,1,3,20,4,1,101,1,1,1,49,8,1,2,4,2007,5,47,1
3839,9,1,3,16,3,1,101,1,4,9,999,12,9,99,99,9999,5,99,9
3840,9,1,3,12,3,1,109,2,99,9,999,12,9,3,99,9999,5,32,9
3841,9,1,3,6,2,10,1020,2,99,1,22,3,1,4,1,2006,5,21,1
3842,9,1,3,15,3,10,1014,2,99,1,31,5,1,1,4,2011,5,37,1
3843,9,1,3,18,4,11,1107,2,99,1,60,11,1,3,8,1985,5,44,2
3844,9,1,3,19,4,9,914,2,99,9,999,12,9,2,99,9999,5,23,9
3845,10,1,4,19,4,1,101,1,12,1,35,6,1,12,2,9999,5,99,1
3846,11,1,5,13,3,1,101,1,12,2,28,4,1,1,3,2011,5,37,1
3847,11,1,5,13,3,1,101,1,12,2,32,5,1,1,6,1995,5,99,1
3848,11,1,5,12,3,1,101,1,12,1,52,9,1,1,4,2009,5,30,1
3849,11,1,5,18,4,5,509,2,99,9,999,12,9,99,99,9999,5,99,9
3850,11,1,5,19,4,18,1801,2,99,1,28,4,1,1,4,2002,5,32,1
3851,11,1,5,14,3,17,1712,2,99,9,999,12,9,99,99,9999,5,99,9
3852,11,1,5,16,3,17,1712,2,99,9,999,12,9,99,99,9999,5,99,9
3853,11,1,5,14,3,3,307,2,99,9,999,12,9,99,99,9999,5,99,9
3854,12,1,6,15,3,1,101,1,7,1,53,9,1,12,1,1994,5,33,9
3855,12,1,6,9,2,10,1002,2,99,9,999,12,9,99,99,9999,5,99,9
3856,12,1,6,19,4,11,1107,2,99,9,999,12,9,99,99,9999,5,99,9
3857,12,1,6,19,4,16,1613,2,99,1,33,5,1,3,5,9999,5,34,1
3858,12,1,6,12,3,2,201,2,99,9,999,12,9,3,2,9999,5,99,9
3859,12,1,6,17,3,3,301,2,99,1,34,5,1,9,4,2009,5,37,1
3860,13,1,7,16,3,1,101,1,7,1,41,7,1,2,5,9999,5,13,1
3861,13,1,7,20,4,1,101,1,7,9,999,12,9,99,99,9999,5,99,9
3862,13,1,7,20,4,1,115,1,3,9,999,12,9,2,99,9999,5,20,9
3863,13,1,7,18,4,22,2214,2,99,1,64,11,1,12,7,1985,5,22,1
3864,13,1,7,14,3,20,2009,2,99,1,36,6,1,3,1,1986,5,37,1
3865,13,1,7,10,2,19,1904,2,99,9,999,12,9,99,99,9999,5,99,9
3866,13,1,7,22,4,5,505,2,99,1,30,5,1,1,4,9999,5,32,9
3867,13,1,7,20,4,5,504,2,99,9,999,12,9,99,99,9999,5,99,9
3868,13,1,7,15,3,9,901,1,3,1,62,11,1,9,3,9999,5,44,9
3869,13,1,7,22,4,12,1201,2,99,9,999,12,9,99,99,9999,5,99,9
3870,13,1,7,7,2,4,403,2,99,1,28,4,1,5,2,9999,5,23,1
3871,14,1,1,23,4,20,2007,1,1,9,999,12,9,4,1,9999,5,99,9
3872,14,1,1,11,2,5,502,2,99,1,27,4,1,4,99,9999,5,99,1
3873,14,1,1,12,3,14,1401,2,99,1,30,5,1,1,11,1983,5,46,9
3874,14,1,1,17,3,3,301,2,99,1,27,4,1,11,3,2010,5,5,9
3875,15,1,2,17,3,1,101,1,4,1,31,5,1,11,2,9999,5,44,1
3876,15,1,2,15,3,10,1010,2,99,1,42,7,1,3,6,1982,5,44,9
3877,15,1,2,14,3,10,1010,2,99,9,999,12,9,3,4,9999,5,99,9
3878,15,1,2,16,3,13,1301,2,99,1,33,5,1,4,3,9999,5,21,1
3879,15,1,2,19,4,16,1601,2,99,9,999,12,9,6,99,9999,5,99,9
3880,15,1,2,15,3,16,1601,1,4,9,999,12,9,5,2,9999,5,99,9
3881,15,1,2,19,4,16,1602,2,99,9,999,12,9,99,99,9999,5,99,9
3882,15,1,2,21,4,7,701,2,99,9,999,12,9,99,99,9999,5,99,9
3883,16,1,3,15,3,5,507,2,99,1,23,3,1,3,2,2011,5,37,1
3884,16,1,3,20,4,10,1008,2,99,1,19,2,1,14,1,2012,5,2,1
3885,16,1,3,7,2,13,1304,2,99,9,999,12,9,99,99,9999,5,99,9
3886,17,1,4,8,2,19,1903,2,99,1,28,4,1,3,3,2004,5,32,1
3887,17,1,4,13,3,11,1105,2,1,9,999,12,9,9,6,2009,5,44,9
3888,17,1,4,18,4,3,308,2,99,9,999,12,9,99,99,9999,5,99,9
3889,17,1,4,0,1,1,101,2,11,1,48,8,1,4,2,2008,5,99,1
3890,17,1,4,10,2,1,101,2,7,1,62,11,1,1,6,1972,5,99,1
3891,17,1,4,10,2,1,101,2,6,9,999,12,9,99,99,9999,5,99,9
3892,17,1,4,21,4,12,1204,2,99,9,999,12,9,99,99,9999,5,99,9
3893,18,1,5,20,4,1,101,1,18,1,22,3,1,1,2,1994,5,37,1
3894,18,1,5,17,3,1,101,1,15,1,23,3,1,3,6,1999,5,32,1
3895,18,1,5,19,4,1,114,2,99,1,55,10,1,4,99,9999,5,99,1
3896,18,1,5,21,4,1,108,1,4,9,999,12,9,99,99,9999,5,99,9
3897,18,1,5,17,3,19,1903,2,99,9,999,12,9,99,99,9999,5,99,9
3898,18,1,5,21,4,5,502,2,99,9,999,12,9,99,99,9999,5,99,9
3899,18,1,5,4,1,6,602,2,99,9,999,12,9,99,99,9999,5,99,9
3900,18,1,5,19,4,9,922,2,99,9,999,12,9,99,99,9999,5,99,9
3901,18,1,5,13,3,13,1301,2,99,2,24,3,1,4,1,9999,5,99,9
3902,19,1,6,16,3,1,101,1,18,1,36,6,1,1,6,9999,5,99,1
3903,19,1,6,15,3,1,101,1,24,1,36,6,1,1,4,9999,5,44,1
3904,19,1,6,14,3,1,102,2,99,1,27,4,1,4,5,2012,5,99,1
3905,19,1,6,12,3,1,101,1,13,9,999,12,9,12,99,9999,5,99,9
3906,19,1,6,8,2,1,101,1,12,1,34,5,1,4,99,9999,5,99,9
3907,19,1,6,11,2,5,501,2,99,9,999,12,9,99,99,9999,5,99,9
3908,19,1,6,20,4,5,513,2,99,9,999,12,9,99,99,9999,5,99,9
3909,19,1,6,23,4,2,207,2,99,9,999,12,9,99,99,9999,5,99,9
3910,19,1,6,15,3,4,409,2,99,1,60,11,1,6,1,1995,5,99,1
3911,20,1,7,19,4,1,106,1,6,2,999,12,1,4,99,9999,5,99,1
3912,20,1,7,18,4,6,608,2,99,1,30,5,1,4,99,9999,5,99,2
3913,20,1,7,22,4,6,611,2,99,9,999,12,9,99,99,9999,5,99,9
3914,20,1,7,18,4,8,805,2,99,1,30,5,1,4,99,9999,5,99,2
