núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,fall_les,int_o_noint,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
6506,2015,11,20,5,20,4,3,4,410,2,99,2,26,1,4,4,6,2,2,1,46,3,2002,4,1
6507,2015,11,20,5,20,4,3,4,410,2,99,2,32,1,5,5,7,2,2,1,46,3,2002,4,1
6508,2015,11,21,6,12,3,2,1,101,1,13,1,23,1,3,3,5,2,1,99,99,99,9999,6,2
6509,2015,11,21,6,12,3,2,1,101,1,13,1,29,1,4,4,6,2,1,99,99,99,9999,6,2
6510,2015,11,21,6,0,1,1,1,101,1,12,1,23,1,3,3,5,1,2,4,99,99,9999,6,2
6511,2015,11,21,6,21,4,3,1,108,1,4,1,36,1,6,6,8,1,2,4,42,4,9999,6,2
6512,2015,11,21,6,5,1,1,5,509,2,99,1,20,1,3,3,5,1,2,4,21,4,9999,6,2
6513,2015,11,21,6,17,3,2,11,1104,2,99,1,24,1,3,3,5,1,2,5,5,2,1996,3,1
6514,2015,11,21,6,17,3,2,11,1104,2,99,1,24,1,3,3,5,2,1,5,5,2,1996,3,1
6515,2015,11,21,6,21,4,3,12,1201,1,4,1,22,1,3,3,5,2,1,4,21,1,9999,6,1
6516,2015,11,21,6,21,4,3,12,1201,1,4,1,35,1,6,6,8,2,1,1,44,2,2009,4,1
6517,2015,11,21,6,23,4,3,13,1301,2,99,1,33,1,5,5,7,2,1,1,44,2,1986,2,1
6518,2015,11,21,6,23,4,3,13,1301,2,99,1,16,2,2,2,4,2,1,4,21,99,9999,6,1
6519,2015,11,21,6,18,4,3,15,1501,2,99,1,24,1,3,3,5,2,1,4,42,3,9999,6,1
6520,2015,11,21,6,13,3,2,18,1803,2,99,1,27,1,4,4,6,2,1,4,99,99,9999,6,3
6521,2015,11,21,6,13,3,2,17,1707,2,99,2,31,1,5,5,7,2,1,3,44,3,9999,6,3
